v(m/s),w(m),d(m),tr(s),kappa,theta(rad),Risk_R
4.996,0.835,1.532,1.018,0.409,0.081679,0.6669
2.465,0.81,1.401,1.15,0.314,0.507844,0.8721
8.66,0.614,0.982,0.52,0.513,0.274762,0.8924
5.456,0.637,1.412,0.467,0.505,0.191827,0.6408
5.649,0.786,1.0,0.917,0.715,0.024321,0.8526
6.86,0.601,0.865,1.439,0.976,0.423276,0.9718
4.437,0.579,1.484,0.828,0.385,0.259274,0.6382
2.275,0.823,1.059,1.095,0.518,0.272307,0.9192
6.374,0.605,1.77,1.23,0.958,0.468531,0.5512
6.783,0.827,0.888,0.535,0.332,0.170343,1.0
5.109,0.631,1.629,0.728,0.497,0.284155,0.5853
3.127,0.791,0.875,1.484,0.841,0.104047,0.9565
2.044,0.795,1.507,1.175,0.84,0.03877,0.4203
4.868,0.585,1.663,1.048,0.532,0.033279,0.4746
4.488,0.648,1.53,1.065,0.921,0.247251,0.5042
2.957,0.764,1.561,0.974,0.84,0.258551,0.4981
6.182,0.678,0.825,0.429,0.322,0.333224,1.0
4.515,0.703,1.708,0.599,0.587,0.395606,0.5791
3.83,0.573,1.09,0.493,0.951,0.423131,0.7435
7.067,0.811,1.604,0.524,0.925,0.282399,0.6289
8.46,0.819,1.118,0.432,0.46,0.223633,0.9145
8.544,0.808,0.807,0.913,0.592,0.116295,1.0
2.959,0.651,1.743,0.688,0.663,0.3681,0.4736
4.909,0.842,1.762,0.602,0.648,0.15754,0.5217
4.279,0.561,1.41,0.903,0.336,0.145899,0.6492
9.266,0.622,0.945,0.887,0.99,0.12674,0.8454
7.377,0.778,1.038,1.174,0.557,0.331075,0.9545
7.068,0.711,0.89,1.302,0.525,0.097661,0.9243
2.326,0.727,1.478,0.32,0.658,0.118593,0.3685
7.161,0.602,1.491,0.764,0.956,0.072006,0.5232
4.729,0.584,1.725,1.353,0.481,0.345567,0.5592
8.538,0.717,1.33,0.59,0.365,0.469781,0.8873
9.203,0.74,1.139,0.719,0.808,0.469726,0.9391
9.097,0.784,1.442,0.401,0.413,0.470482,0.8686
6.851,0.553,0.901,1.096,0.304,0.084199,0.8796
6.39,0.758,1.452,0.569,0.799,0.124223,0.6117
4.603,0.774,1.45,1.319,0.76,0.297566,0.6412
2.749,0.66,1.065,0.593,0.981,0.205825,0.6643
9.136,0.739,1.595,0.903,0.704,0.257882,0.6716
3.562,0.767,1.081,0.329,0.752,0.092735,0.7476
9.524,0.836,1.715,0.744,0.311,0.486066,0.8831
5.425,0.84,1.764,1.324,0.506,0.201637,0.5897
8.809,0.645,0.969,0.968,0.955,0.36444,0.9226
6.56,0.579,1.415,1.488,0.398,0.271397,0.7028
9.019,0.772,1.497,1.143,0.552,0.153724,0.7175
8.475,0.793,1.667,1.396,0.658,0.262593,0.6605
8.386,0.745,1.502,1.255,0.923,0.176974,0.6396
5.005,0.578,1.378,0.343,0.626,0.284128,0.6079
4.292,0.727,0.831,0.345,0.876,0.188595,0.9809
3.016,0.707,1.57,0.559,0.736,0.044688,0.4131
2.413,0.709,1.341,1.065,0.808,0.510955,0.7084
6.13,0.647,1.595,0.625,0.607,0.04108,0.5238
2.203,0.839,1.636,1.135,0.586,0.090737,0.4746
3.251,0.625,1.349,1.158,0.762,0.146573,0.511
9.639,0.771,1.354,1.034,0.594,0.129712,0.7695
4.848,0.777,0.814,0.439,0.332,0.021326,0.9857
8.844,0.761,1.274,0.417,0.644,0.247909,0.8099
3.386,0.68,1.199,1.039,0.745,0.023721,0.5802
4.997,0.738,1.303,1.328,0.761,0.085312,0.627
2.565,0.743,0.827,1.003,0.958,0.301318,1.0
5.105,0.743,1.258,0.955,0.959,0.202163,0.6743
9.69,0.822,0.996,0.383,0.371,0.009541,0.9424
2.756,0.755,0.871,0.683,0.891,0.012185,0.8712
8.516,0.635,0.918,1.136,0.74,0.459443,0.9841
7.881,0.791,1.082,0.513,0.825,0.422458,0.9707
9.924,0.674,1.172,1.232,0.539,0.487343,0.9318
8.867,0.679,1.551,1.205,0.372,0.472576,0.8465
6.042,0.798,1.12,1.375,0.572,0.005675,0.8034
9.243,0.577,1.119,1.44,0.965,0.300251,0.7899
7.055,0.685,1.093,0.694,0.771,0.393942,0.883
8.333,0.787,0.891,0.893,0.34,0.287733,1.0
5.532,0.816,1.151,0.44,0.4,0.398726,0.947
6.946,0.58,0.884,1.141,0.351,0.430325,0.9694
7.65,0.574,0.885,1.484,0.562,0.194068,0.883
8.502,0.834,1.786,1.204,0.563,0.043721,0.5913
8.217,0.718,1.224,1.388,0.378,0.257938,0.8737
2.091,0.691,0.856,0.443,0.382,0.339926,1.0
7.968,0.725,1.762,0.75,0.5,0.454797,0.6945
3.789,0.839,0.812,1.464,0.33,0.466601,1.0
6.222,0.848,0.874,0.965,0.979,0.273893,1.0
7.035,0.759,1.255,1.053,0.709,0.471845,0.8811
2.364,0.634,1.75,1.368,0.619,0.324701,0.4631
4.219,0.606,1.264,0.724,0.709,0.040702,0.5514
9.795,0.846,1.498,0.943,0.517,0.426102,0.8619
7.478,0.599,1.711,1.287,0.965,0.379986,0.5604
6.907,0.675,1.733,1.339,0.332,0.013806,0.621
5.012,0.793,1.787,0.481,0.716,0.199434,0.4973
9.759,0.803,1.638,0.862,0.59,0.143156,0.6805
2.451,0.809,1.613,1.5,0.998,0.290823,0.4692
8.152,0.833,1.65,0.597,0.615,0.067628,0.6236
9.632,0.732,1.029,1.106,0.733,0.187534,0.8936
2.908,0.751,1.32,1.227,0.664,0.446201,0.756
6.415,0.718,1.677,0.784,0.394,0.015071,0.5928
8.041,0.736,1.504,0.556,0.395,0.007616,0.6856
4.805,0.727,1.192,0.825,0.933,0.182346,0.6917
6.112,0.785,1.197,1.047,0.904,0.497168,0.9289
3.177,0.828,1.292,0.61,0.621,0.513144,0.8972
5.941,0.649,1.433,0.588,0.353,0.067481,0.6743
3.024,0.596,0.939,1.069,0.427,0.180991,0.8312
9.174,0.692,1.468,0.507,0.435,0.021399,0.7015
3.351,0.634,0.977,0.406,0.384,0.241263,0.8664
3.651,0.659,1.303,1.128,0.328,0.41857,0.8111
7.023,0.575,1.674,1.405,0.343,0.144973,0.6399
8.45,0.774,0.985,0.551,0.559,0.253696,0.9566
6.946,0.661,1.263,1.197,0.326,0.132176,0.7918
7.707,0.819,1.312,0.939,0.375,0.234265,0.8492
6.261,0.623,1.069,0.753,0.314,0.16864,0.8483
3.692,0.648,0.92,1.369,0.716,0.355577,0.924
8.313,0.7,0.887,0.945,0.711,0.390311,1.0
5.453,0.588,1.084,0.736,0.752,0.298859,0.7626
4.849,0.846,1.406,0.585,0.371,0.080037,0.7392
3.968,0.598,0.987,0.642,0.421,0.469545,0.9292
2.642,0.707,1.21,1.479,0.378,0.208317,0.7635
9.756,0.81,1.617,0.609,0.42,0.350101,0.8135
9.435,0.717,1.372,0.636,0.839,0.097936,0.6904
4.589,0.678,1.308,0.591,0.38,0.31972,0.7737
4.309,0.724,0.954,0.877,0.673,0.027135,0.8259
4.693,0.59,0.863,1.488,0.526,0.424049,0.9687
4.037,0.754,1.56,1.015,0.63,0.215639,0.5615
4.791,0.829,1.631,1.458,0.387,0.382681,0.7313
9.507,0.604,0.866,1.189,0.702,0.440781,0.9871
3.118,0.789,1.002,0.496,0.415,0.42651,1.0
7.322,0.707,1.159,1.353,0.575,0.42757,0.8933
5.513,0.663,1.263,0.662,0.823,0.263224,0.6804
3.858,0.82,1.184,0.952,0.935,0.32685,0.8226
2.935,0.832,1.428,0.702,0.397,0.415751,0.8007
6.961,0.71,1.694,1.246,0.406,0.163217,0.6289
3.988,0.773,0.834,0.984,0.834,0.459073,1.0
4.737,0.796,0.911,1.316,0.389,0.208019,0.9892
8.378,0.595,1.029,1.167,0.804,0.335704,0.8547
7.552,0.713,1.052,0.715,0.427,0.475664,0.9736
6.667,0.67,1.262,1.437,0.407,0.306949,0.8064
6.047,0.733,0.818,1.347,0.952,0.295903,1.0
7.573,0.827,1.507,0.483,0.703,0.317675,0.7322
5.393,0.771,1.734,1.411,0.616,0.059291,0.5029
9.879,0.802,0.925,1.405,0.909,0.271663,1.0
6.73,0.67,0.855,0.702,0.862,0.002425,0.8689
4.668,0.669,1.337,1.404,0.542,0.181664,0.6529
7.9,0.686,1.025,0.843,0.399,0.092356,0.8702
5.987,0.676,1.715,0.735,0.706,0.331053,0.5599
2.105,0.749,0.978,1.453,0.404,0.217097,0.9133
2.683,0.849,1.302,1.014,0.347,0.392678,0.8784
3.679,0.819,1.005,0.529,0.326,0.247174,0.9663
6.519,0.57,1.576,0.844,0.667,0.230783,0.5572
5.206,0.718,0.955,0.518,0.903,0.495385,1.0
4.986,0.631,1.444,0.79,0.318,0.081761,0.6701
7.728,0.748,0.827,0.566,0.462,0.351802,1.0
2.158,0.581,1.6,0.514,0.757,0.124712,0.3229
2.796,0.623,1.522,1.327,0.881,0.207965,0.4429
7.345,0.611,1.093,1.376,0.309,0.044772,0.841
3.663,0.558,0.981,1.0,0.595,0.467402,0.8802
8.54,0.653,1.059,0.756,0.713,0.140358,0.8145
6.993,0.673,1.352,0.823,0.506,0.496609,0.8238
8.109,0.592,1.668,0.885,0.926,0.418803,0.6022
5.402,0.557,1.069,0.95,0.743,0.13503,0.6889
3.115,0.8,1.784,0.931,0.42,0.14258,0.5261
2.147,0.824,0.918,0.992,0.492,0.290167,1.0
7.211,0.799,1.006,0.313,0.396,0.471249,1.0
8.991,0.729,1.401,1.098,0.423,0.478785,0.8807
5.35,0.665,1.319,0.356,0.416,0.386433,0.785
2.662,0.731,1.045,0.767,0.502,0.18623,0.8279
7.752,0.639,1.366,0.871,0.765,0.490523,0.7743
7.861,0.614,0.831,0.615,0.717,0.026926,0.8775
